Letter,Title,Description
A,Abaloni,"Abaloni, proprietà principali
Gli abaloni sono molluschi, abbastanza pregiati, dal gusto delicato e meno deciso rispetto ad altri tipi ..."
A,Abbacchio,"L’abbacchio è il termine con cui si indica la carne di un giovane agnello. Si tratta di un prodotto tipico del Lazio, specie della zona ..."
A,Aburaage,L’aburaage ha un colore dorato e una consistenza spugnosa ed è un prodotto alimentare tipico della cucina giapponese. Viene chiamato ...
A,Acciughe (alici),"Acciughe e alici, proprietà principali
Innanzitutto è bene precisare che alici e acciughe appartengono alla stessa specie di pesce ..."
A,Acciughe (alici) dissalate,
A,Acciughe (alici) sott'olio,"Le acciughe (alici) sott’olio sono in ingrediente a base di pesce. Si possono mangiare da sole, accompagnate dal pane, oppure abbinare ..."
A,Acciughe (alici) sotto sale,Le acciughe (alici) sotto sale sono un ingrediente della cucina mediterranea e vengono utilizzate da sempre per preparare moltissime ...
A,Aceto,"Aceto, proprietà principali
L’aceto è una antichissimo condimento usato anche come metodo di conservazione, ricavato principalmente dal ..."
A,Aceto balsamico,"L’aceto balsamico è un condimento tipico italiano, prodotto con mosto d’uva, fermentato, acetificato e invecchiato per parecchi anni. ..."
A,Aceto balsamico di Modena IGP,"Aceto balsamico di Modena IGP, caratteristiche principali
L’aceto balsamico di Modena IGP è un condimento di grande pregio e prodotto ..."
A,Aceto di mele,"Aceto di mele, proprietà principali
L’aceto di mele è un condimento che nasce dalla fermentazione del sidro di mele in botti di legno e ..."
A,Aceto di riso,"Aceto di riso, proprietà principali
L’aceto di riso è un prodotto originario dell’Asia (Cina, Giappone, Corea e Vietnam), che tuttavia ..."
A,Aceto di sherry,
A,Aceto di vino bianco,"L’aceto è un prodotto molto diffuso ed utilizzato in tantissime preparazioni culinarie. È presente nelle dispense di tutte le famiglie, ..."
A,Aceto di vino rosso,"Aceto di vino rosso, proprietà principali
L’aceto di vino rosso è uno dei condimenti maggiormente presenti sulle tavole e nelle cucine ..."
A,Acetosa,"Acetosa, proprietà principali
L’acetosa, nota anche come erba acetosa o erba brusca ma da non confondersi con l’acetosella, è una ..."
A,Acetosella,"L’acetosella è una piccola pianta erbacea molto diffusa, il suo nome scientifico è Oxalis Acetosella, e cresce spontaneamente in zone ..."
A,Acqua,"L’acqua è un elemento essenziale per la vita e un ingrediente largamente utilizzato in cucina. Fondamentale per vivere bene, compone ..."
A,Acqua di fiori di arancio,"L’acqua di fiori di arancio è una risorsa naturale per la cura del corpo: ha proprietà lenitive, antisettiche e calmanti. In cucina, un ..."
A,Acqua di fiori di geranio,"Acqua di fiori di geranio, caratteristiche principali
È profumata, biologica, perfetta in cucina e per la salute del nostro organismo. ..."
A,Acqua di mare,Insaporisce i primi piatti in maniera unica e caratterizza altresì tutte le ricette a base di pesce: stiamo parlando dell’acqua di ...
A,Acqua di rose,"Acqua di rose, caratteristiche principali
Non solo amata per le sue proprietà cosmetiche ma anche per il suo ampio uso in cucina. ..."
A,Acqua frizzante,"L’acqua frizzante è caratterizzata da un alto contenuto di anidride carbonica, è grazie a questo elemento che ha determinate ..."
A,Acqua tonica,"Molto dissetante e apprezzata con l’aggiunta di ghiaccio e limone, l’acqua tonica è una bevanda che originariamente conteneva solo ..."
A,Acquavite,"L’acquavite, conosciuta anche con il termine distillato, è una bevanda spiritosa ottenuta dalla distillazione di liquidi zuccherini ..."
A,Acquavite di ginepro,"L’acquavite di ginepro è un distillato originario delle Valli Giudicarie, una delle zone più turistiche del basso Trentino. La ..."
A,Acquavite di grano,"Perfetto come fine pasto e dai molteplici usi in cucina, l’acquavite di grano è una bevanda ottenuta appunto dalla distillazione di ..."
A,Acquavite di lamponi,"L’acquavite di lamponi è una bevanda alcolica dal sapore dolce e fruttato. Si tratta di un distillato, ovvero un prodotto con un titolo ..."
A,Acquavite di mele,"Acquavite di mele, caratteristiche principali
L’acquavite di mele deriva dalla macerazione dei frutti migliori e dalla successiva ..."
A,Agar agar,L’agar agar è un prodotto ottenuto dalla lavorazione delle alghe rosse: viene utilizzato come gelificante vegetale principalmente nelle ...
A,Aglio,L’aglio (il cui nome scientifico è Allium sativum) è una pianta bulbosa appartenente alla famiglia delle Liliaceae utilizzata ...
A,Aglio in granuli,"Immancabile nella nostra cucina, l’aglio in granuli è un ingrediente indispensabile per le ricette della nostra tradizione e per le ..."
A,Aglio in polvere,L’aglio è uno dei condimenti principali e insostituibili che è possibile impiegare in cucina per aromatizzare in maniere unica ...
A,Aglio nero fermentato,"L’aglio nero fermentato è un ingrediente piuttosto recente, nato negli anni Duemila in Corea dove esiste da sempre l’usanza di ..."
A,Agnello,"Agnello, proprietà principali
Utilizzato in cucina dalla notte dei tempi pressoché in ogni angolo della terra, oggi l’agnello si cucina ..."
A,Agoni,"Agoni, caratteristiche principali
L’agone è un pesce d’acqua dolce che si trova facilmente nei grandi laghi italiani, come il Lago ..."
A,Agretti (barba di frate),"Dal gusto leggermente amarognolo e dal colore verde brillante, gli agretti (detti anche barba di frate), sono una prelibatezza della ..."
A,Agrumi canditi,"Agrumi canditi, proprietà principali
Belli da vedere e buoni da mangiare: gli agrumi canditi sono dei veri protagonisti della cucina ..."
A,Aguglie,"Aguglie, caratteristiche principali
Le aguglie sono pesci ossei di mare che appartengono alla famiglia delle famiglia Belonidae. ..."
A,Albicocche,"Albicocche, proprietà principali
L’albicocca è il frutto dell’albicocco, una pianta originaria della Cina appartenente alla famiglia ..."
A,Albicocche al liquore,"Le albicocche al liquore sono un ottimo fine pasto e un dessert delizioso da servire con il gelato, da solo o con altri dolci. Questo ..."
A,Albicocche sciroppate,"Le albicocche sciroppate sono un ingrediente dolcissimo che accompagna da sempre il nostro momento preferito in tavola, quello del ..."
A,Albicocche secche,"Uno snack ricco di fibre, vitamine, minerali, senza rinunciare al gusto: sono le albicocche secche, una merenda sana e genuina perfetta ..."
A,Alborelle,Le alborelle sono dei piccoli pesci ossei dalle dimensioni ridotte che appartengono alla famiglia dei dei Ciprinidi che a sua volta ...
A,Alborelle secche,L’alborella è un pesce d’acqua dolce dalle proprietà virtuose appartenente alla famiglia dei Ciprinidi. Il nome scientifico è Alburnus ...
A,Albumi,"Le uova sono un alimento genuino e molto versatile, ottimo per preparare al volo qualche pietanza gustosa anche quando non si ha molto ..."
A,Alchermes,L’alchermes è un liquore che viene consumato a fine pasto e utilizzato spesso per la bagna di dolci e dessert. La sua sfumatura ...
A,Alcool,"Conosciuto anche con il nome di etanolo, l’alcool è un liquido che trova tantissimi impieghi non solo nel settore alimentare. È alla ..."
A,Alga arame,"L’alga Arame – nome scientifico Eisenia bicyclis – è una tipologia di alga bruna raccolta in Perù, in Giappone e nella costa ..."
A,Alga kombu,"L’alga kombu è un’alga di origine giapponese di colore marrone/verde scuro, molto impiegata in cucina per insaporire i cibi e per ..."
A,Alga nori,"L’alga che comunemente chiamiamo nori, è un’alga rossa. È coltivata in Giappone e Corea fin dal XVII secolo, da quel momento in poi ..."
A,Alghe wakame,"Alghe wakame, proprietà principali
L’alga wakame è un’alga marina dal colore bruno lunga circa 30 cm, molto diffusa in tutta l’Asia, in ..."
A,Ali di pollo,"La carne di pollo è molto apprezzata, per le sue notevoli proprietà nutrizionali e per il suo gusto delicato. Stiamo parlando di una ..."
